player_id,domain,domain_best_performance,domain_average_performance,games_in_domain,age,weekly_gaming_hours,sleep_hours_last_night
578f0064-ba44-4300-ba13-5bfa94e295aa,Attention,60.45,55.11666666666667,3,22,25,6
578f0064-ba44-4300-ba13-5bfa94e295aa,Learning,53.735,45.4175,4,22,25,6
578f0064-ba44-4300-ba13-5bfa94e295aa,Memory,52.75,50.083333333333336,6,22,25,6
578f0064-ba44-4300-ba13-5bfa94e295aa,Perception,48.94499999999999,48.94499999999999,2,22,25,6
578f0064-ba44-4300-ba13-5bfa94e295aa,Reasoning,50.596666666666664,40.36333333333334,3,22,25,6
578f0064-ba44-4300-ba13-5bfa94e295aa,Reflex,50.744,44.24400000000001,5,22,25,6
5aa663da-2ff5-44a1-9b9b-bfbc1e981d0e,Attention,36.795,35.611666666666665,6,16,10,11
5aa663da-2ff5-44a1-9b9b-bfbc1e981d0e,Learning,33.12,33.12,3,16,10,11
5aa663da-2ff5-44a1-9b9b-bfbc1e981d0e,Memory,39.356,36.676,10,16,10,11
5aa663da-2ff5-44a1-9b9b-bfbc1e981d0e,Perception,44.54,39.59,2,16,10,11
5aa663da-2ff5-44a1-9b9b-bfbc1e981d0e,Reasoning,38.36333333333333,36.083333333333336,3,16,10,11
5aa663da-2ff5-44a1-9b9b-bfbc1e981d0e,Reflex,36.22714285714285,35.212857142857146,7,16,10,11
5b190361-fc48-47f8-b155-85daa06d2d0c,Attention,56.178,51.33,5,19,10,7
5b190361-fc48-47f8-b155-85daa06d2d0c,Learning,60.20333333333333,54.75,3,19,10,7
5b190361-fc48-47f8-b155-85daa06d2d0c,Memory,61.568888888888885,54.51999999999999,9,19,10,7
5b190361-fc48-47f8-b155-85daa06d2d0c,Perception,65.81333333333333,65.81333333333333,3,19,10,7
5b190361-fc48-47f8-b155-85daa06d2d0c,Reasoning,57.726666666666674,57.726666666666674,3,19,10,7
5b190361-fc48-47f8-b155-85daa06d2d0c,Reflex,60.60666666666666,58.27333333333334,6,19,10,7
5fb34995-9d6e-4292-913d-ebcafd0ca34a,Attention,46.1675,44.8675,4,31,25,6
5fb34995-9d6e-4292-913d-ebcafd0ca34a,Learning,50.67999999999999,46.43,2,31,25,6
5fb34995-9d6e-4292-913d-ebcafd0ca34a,Memory,47.24125,46.29125,8,31,25,6
5fb34995-9d6e-4292-913d-ebcafd0ca34a,Perception,45.9025,45.9025,4,31,25,6
5fb34995-9d6e-4292-913d-ebcafd0ca34a,Reasoning,51.913333333333334,45.406666666666666,3,31,25,6
5fb34995-9d6e-4292-913d-ebcafd0ca34a,Reflex,48.67999999999999,45.59166666666667,6,31,25,6
61db4526-1302-49fc-84ce-0954cf692242,Attention,46.832499999999996,40.2325,4,24,0,1
61db4526-1302-49fc-84ce-0954cf692242,Learning,57.06,57.06,1,24,0,1
61db4526-1302-49fc-84ce-0954cf692242,Memory,44.36,44.36,2,24,0,1
61db4526-1302-49fc-84ce-0954cf692242,Reasoning,53.78000000000001,53.78000000000001,2,24,0,1
61db4526-1302-49fc-84ce-0954cf692242,Reflex,46.4025,39.8025,4,24,0,1
69939284-767a-458d-aeef-e759fc62a7d9,Attention,60.82000000000001,60.82000000000001,2,24,30,7
69939284-767a-458d-aeef-e759fc62a7d9,Learning,66.17666666666668,66.17666666666668,3,24,30,7
69939284-767a-458d-aeef-e759fc62a7d9,Memory,66.83,66.83,3,24,30,7
69939284-767a-458d-aeef-e759fc62a7d9,Perception,69.5,69.5,1,24,30,7
69939284-767a-458d-aeef-e759fc62a7d9,Reasoning,64.925,64.925,2,24,30,7
69939284-767a-458d-aeef-e759fc62a7d9,Reflex,66.14333333333335,66.14333333333335,3,24,30,7
6c099074-1829-46a4-887a-6e61102bfe7f,Attention,76.08666666666667,71.38166666666666,6,26,32,8
6c099074-1829-46a4-887a-6e61102bfe7f,Learning,81.10333333333334,75.28666666666666,3,26,32,8
6c099074-1829-46a4-887a-6e61102bfe7f,Memory,76.28818181818183,71.24181818181819,11,26,32,8
6c099074-1829-46a4-887a-6e61102bfe7f,Perception,80.74666666666667,75.27333333333334,3,26,32,8
6c099074-1829-46a4-887a-6e61102bfe7f,Reasoning,73.83,68.495,4,26,32,8
6c099074-1829-46a4-887a-6e61102bfe7f,Reflex,75.5675,71.15625,8,26,32,8
6c5ae84a-2357-43f8-9c88-c4c67c37865b,Attention,56.335,51.334999999999994,2,24,1,5
6c5ae84a-2357-43f8-9c88-c4c67c37865b,Memory,62.5,60.0,1,24,1,5
6c5ae84a-2357-43f8-9c88-c4c67c37865b,Reflex,56.335,51.334999999999994,2,24,1,5
74eb4edc-7eb3-4a6a-af1f-33bd4fcaf373,Attention,58.155,54.059999999999995,4,24,16,12
74eb4edc-7eb3-4a6a-af1f-33bd4fcaf373,Learning,68.82000000000001,55.879999999999995,1,24,16,12
74eb4edc-7eb3-4a6a-af1f-33bd4fcaf373,Memory,59.42000000000001,52.62,2,24,16,12
74eb4edc-7eb3-4a6a-af1f-33bd4fcaf373,Reasoning,66.66000000000001,60.19,2,24,16,12
74eb4edc-7eb3-4a6a-af1f-33bd4fcaf373,Reflex,60.67,56.574999999999996,4,24,16,12
7b116dad-c57d-4ce7-938d-85753438907b,Attention,54.467999999999996,39.126000000000005,5,24,10,3
7b116dad-c57d-4ce7-938d-85753438907b,Learning,55.847500000000004,34.599999999999994,4,24,10,3
7b116dad-c57d-4ce7-938d-85753438907b,Memory,50.983999999999995,42.957,10,24,10,3
7b116dad-c57d-4ce7-938d-85753438907b,Perception,47.00666666666666,47.00666666666666,3,24,10,3
7b116dad-c57d-4ce7-938d-85753438907b,Reasoning,53.849999999999994,49.616,5,24,10,3
7b116dad-c57d-4ce7-938d-85753438907b,Reflex,52.465714285714284,45.95428571428572,7,24,10,3
7e44185a-6c68-4f60-87b9-6319e7d28b67,Attention,60.9025,56.4025,4,25,0,12
7e44185a-6c68-4f60-87b9-6319e7d28b67,Learning,69.485,50.64500000000001,2,25,0,12
7e44185a-6c68-4f60-87b9-6319e7d28b67,Memory,64.42599999999999,55.706,10,25,0,12
7e44185a-6c68-4f60-87b9-6319e7d28b67,Perception,69.3625,66.4625,4,25,0,12
7e44185a-6c68-4f60-87b9-6319e7d28b67,Reasoning,69.536,51.61800000000001,5,25,0,12
7e44185a-6c68-4f60-87b9-6319e7d28b67,Reflex,65.68166666666667,56.25833333333333,6,25,0,12
810ca908-97fc-4b8b-bd96-558aec50495e,Attention,37.258,35.502,5,35,10,5
810ca908-97fc-4b8b-bd96-558aec50495e,Learning,36.43,36.43,2,35,10,5
810ca908-97fc-4b8b-bd96-558aec50495e,Memory,39.761250000000004,34.4275,8,35,10,5
810ca908-97fc-4b8b-bd96-558aec50495e,Perception,48.475,37.32,2,35,10,5
810ca908-97fc-4b8b-bd96-558aec50495e,Reasoning,42.03333333333334,35.42333333333333,3,35,10,5
810ca908-97fc-4b8b-bd96-558aec50495e,Reflex,38.6,36.844,5,35,10,5
83135a45-0ab1-4951-9342-c602aad72c63,Attention,65.14999999999999,58.056,5,24,10,5
83135a45-0ab1-4951-9342-c602aad72c63,Learning,56.34,56.34,2,24,10,5
83135a45-0ab1-4951-9342-c602aad72c63,Memory,60.888571428571424,55.60285714285714,7,24,10,5
83135a45-0ab1-4951-9342-c602aad72c63,Perception,55.74666666666667,48.41333333333333,3,24,10,5
83135a45-0ab1-4951-9342-c602aad72c63,Reasoning,57.440000000000005,50.77333333333334,3,24,10,5
83135a45-0ab1-4951-9342-c602aad72c63,Reflex,65.75599999999999,54.662,5,24,10,5
84d609a1-25fe-4bd7-9e7c-99fcbf878260,Attention,54.800000000000004,50.8,2,20,1,13
